Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
NCC.L,113.80000305175781,-0.010434756071671214,0.020542288382939557,75.62049482961895,60.41666666666667,32.62392487966543,21.934923515685764,24.293310049124003,13.709704213514598,"Volatility_30, Trend_MA50, Momentum_20",64.1,Above Average,catboost
CLDN.L,318.5,-0.016975308641975273,0.010453192196043137,67.23578292649435,73.75,38.733333333333334,17.42439891165528,18.06043056043056,27.39726027397259,"Volatility_30, Trend_MA50, Return_10d",64.0,Above Average,catboost
LULU,145.85000610351562,-0.036594182630742655,0.023528356609027145,62.95144936199433,54.315789473684205,48.506471306471305,46.200499619854455,39.127230889764895,22.76146190952153,"Volatility_30, Trend_MA50, Momentum_20",64.0,Above Average,catboost
QCOM,127.11000061035156,-0.026275416364263116,0.0147975788716411,67.423614450876,59.1578947368421,40.67042606516291,28.88095238095238,32.69995003651178,24.29902143934835,"Trend_MA50, Volatility_30, RSI_14",63.9,Above Average,catboost
ADBE,234.83999633789062,-0.02507476097013661,0.02392161099049367,64.65489890055683,56.421052631578945,47.524726009088475,39.57364648668996,32.564500623541285,15.477208087559887,"Volatility_30, Trend_MA50, RSI_14",63.9,Above Average,catboost
TEF.MC,3.671999931335449,0.0027307456648606454,0.020823432603380133,92.46052342327395,59.587628865979376,38.88378607256856,33.623381690833334,34.150499883982526,56.47743232752234,"Volatility_30, Return_10d, Trend_MA50",63.7,Above Average,catboost
MAS,59.5,-0.011463675734373568,0.01665837544171588,83.82935811461223,57.89473684210526,34.69562541283853,37.36563314981165,32.15046187402051,31.741142434612314,"Volatility_30, Trend_MA50, Momentum_20",63.6,Above Average,catboost
SMIN.L,2288.0,-0.008665511265164683,0.02680284898903336,89.25374339620379,64.16666666666667,29.28018575851393,13.19862693087845,17.76610644257703,34.28246013667426,"Volatility_30, Trend_MA50, Return_10d",63.5,Above Average,catboost
BEI.DE,74.80000305175781,-0.005583596944022884,0.03917439155059712,74.15526371940655,64.12371134020619,27.564814814814817,31.36939264568998,27.581153584895883,23.0366457291032,"Volatility_30, Trend_MA50, Momentum_20",63.5,Above Average,catboost
FER.MC,54.65999984741211,-0.005820292788078163,0.01615492983648144,82.10647935802446,64.94845360824742,49.254658385093165,27.773726048206754,34.07267080745341,43.149285290523444,"Volatility_30, Trend_MA50, RSI_14",63.3,Above Average,catboost
MKC,53.06999969482422,0.02888712312670849,0.01998108398142294,80.0572668480092,61.473684210526315,24.0870357712463,18.846743295019156,19.469941822882998,18.093040947640247,"Volatility_30, Trend_MA50, Return_10d",63.3,Above Average,catboost
AMS.MC,48.599998474121094,-0.028388683939369663,0.023577276517364708,57.80326718660746,63.91752577319587,56.3484692122463,18.294685990338163,21.877329857922852,20.712718813826015,"Volatility_30, Trend_MA50, Momentum_20",63.3,Above Average,catboost
PODD,208.22000122070312,-0.04534408950516988,0.024118262663116827,70.59731374420693,56.210526315789465,35.93773873185638,33.261295038671946,30.628510240539562,22.671661298604306,"Volatility_30, Trend_MA50, Return_10d",63.1,Above Average,catboost
